	7393_RAJ6744A1	7393_RAJ6744A10	7393_RAJ6744A11	7393_RAJ6744A12	7393_RAJ6744A13	7393_RAJ6744A14	7393_RAJ6744A15	7393_RAJ6744A2	7393_RAJ6744A4	7393_RAJ6744A5	7393_RAJ6744A6	7393_RAJ6744A7	7393_RAJ6744A8	7393_RAJ6744A9
ENSG00000229344	9	9	2	3	14	7	0	4	9	13	10	6	4	10
ENSG00000240409	4	1	0	2	2	1	1	1	3	3	1	1	1	1
ENSG00000248527	69	153	99	40	57	77	22	59	118	57	61	58	52	32
ENSG00000198744	14	39	3	4	13	11	3	10	14	8	16	4	18	3
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	0	0	0	2	0	0	1	0	0	0	2	0	0	1
ENSG00000230092	1	2	0	1	6	0	0	0	0	0	3	1	2	0
ENSG00000177757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228794	41	96	31	38	50	30	25	15	34	22	80	26	17	58
ENSG00000225880	0	2	1	0	0	0	1	0	0	1	1	1	1	0
ENSG00000230368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	1	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000187634	11	12	12	9	3	6	4	12	7	8	6	9	10	7
ENSG00000188976	98	99	108	100	67	69	41	88	125	108	84	83	116	52
ENSG00000187961	2	2	6	3	0	0	1	0	0	0	0	0	1	1
ENSG00000187583	0	1	0	0	0	0	1	0	0	2	7	0	0	7
ENSG00000187642	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ENSG00000272512	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	8	0	0	0	0	1	0	1	0	0	1	0
ENSG00000187608	0	8	115	106	11	12	282	192	7	379	46	13	412	217
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000188157	10	25	67	279	13	10	146	27	55	43	454	25	42	898
ENSG00000242590	1	5	8	45	0	0	14	2	8	8	45	4	11	128
ENSG00000217801	1	1	102	25	2	36	14	3	4	11	4	2	7	7
ENSG00000273443	0	0	3	1	0	0	1	0	0	1	0	0	0	2
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	2	2	10	3	1	0	0	0	3	0	0	0	3	1
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	3	10	3	0	2	3	0	0	0	0	1	0	0
ENSG00000186827	0	0	17	3	0	1	0	1	0	0	0	0	0	0
ENSG00000078808	181	471	773	633	243	257	259	220	373	278	367	355	337	366
ENSG00000176022	171	102	435	149	155	210	105	75	157	87	138	155	93	94
ENSG00000184163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160087	100	227	317	179	142	160	135	73	147	85	132	149	100	151
ENSG00000230415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	11	12	29	16	9	3	3	11	30	19	12	21	18	6
ENSG00000278073	0	1	1	1	1	0	0	1	6	2	0	1	1	1
ENSG00000169972	6	17	21	19	11	7	6	7	6	2	8	9	10	5
ENSG00000127054	77	116	93	98	81	23	42	71	83	53	56	87	102	74
ENSG00000283712	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000240731	4	4	2	1	1	1	0	1	5	1	3	0	1	0
ENSG00000224051	13	40	34	26	16	11	17	3	16	2	22	22	4	20
ENSG00000169962	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ENSG00000107404	2	5	11	3	1	1	2	1	12	9	6	4	9	10
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162576	0	6	10	4	7	8	4	0	0	0	0	0	1	6
ENSG00000175756	27	106	87	88	62	60	49	26	53	33	29	39	24	31
ENSG00000223663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978	72	125	147	100	82	59	69	37	113	48	112	83	38	69
ENSG00000224870	116	152	106	106	213	132	96	58	108	51	79	151	84	73
ENSG00000242485	401	566	415	317	710	584	282	261	469	173	149	425	299	156
ENSG00000264293	3	0	1	0	0	5	1	0	0	0	2	1	2	0
ENSG00000272455	0	4	0	1	0	2	0	0	3	0	1	1	0	2
ENSG00000235098	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179403	2	1	1	3	2	1	1	0	3	0	0	0	1	1
ENSG00000215915	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000160072	8	4	22	4	2	5	1	3	12	8	3	5	4	2
ENSG00000284740	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197785	3	22	21	4	14	6	0	10	23	15	0	9	11	3
ENSG00000205090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160075	587	680	542	680	647	419	551	284	583	226	471	613	310	499
ENSG00000215014	12	10	10	14	9	4	3	1	7	5	9	12	3	14
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	1	6	6	9	2	2	5	0	7	2	2	12	4	2
ENSG00000272106	9	26	24	19	13	9	8	13	24	19	24	19	24	18
ENSG00000197530	0	0	6	2	1	0	0	0	1	1	2	1	1	0
ENSG00000189409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248333	62	68	47	69	31	21	31	54	76	44	92	52	44	80
ENSG00000272004	7	2	0	1	4	0	7	1	10	2	19	3	0	6
ENSG00000189339	100	83	39	133	50	26	82	26	98	37	266	63	23	122
ENSG00000269737	4	1	2	5	1	0	2	5	0	0	7	0	0	4
ENSG00000215914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	16	25	11	18	12	16	7	18	20	7	32	20	15	32
ENSG00000268575	16	28	13	22	14	16	9	18	23	7	40	24	15	38
ENSG00000227775	1	14	1	9	5	2	5	0	3	0	3	3	0	2
ENSG00000215790	0	3	2	3	1	0	5	0	4	2	5	0	0	3
ENSG00000008130	125	203	123	673	160	102	834	88	158	101	395	231	138	915
ENSG00000078369	10012	12090	20423	10688	9941	10205	8094	8587	12493	9074	12790	12580	11191	12799
ENSG00000231050	0	0	0	1	1	0	0	0	2	0	0	0	0	0
ENSG00000169885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142609	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226969	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	0	7	9	8	4	9	7	0	0	0	2	1	2	6
ENSG00000271806	0	0	0	2	0	0	1	0	0	0	0	0	1	0
ENSG00000182873	0	1	0	0	0	0	1	0	0	0	1	0	0	1
ENSG00000162585	6	16	26	28	12	11	19	1	17	2	18	10	7	18
ENSG00000234396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	1081	2693	330	333	1295	145	279	72	1463	72	167	1328	131	262
ENSG00000116151	3	1	6	5	1	5	5	1	1	0	8	4	0	3
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896	0	1	0	0	0	0	2	0	0	0	0	0	1	0
ENSG00000272420	0	0	0	0	0	0	0	0	0	0	0	1	0	2
ENSG00000157916	1066	1566	1667	1156	2004	1741	1158	706	1247	611	938	1301	903	793
ENSG00000157911	104	144	137	79	157	111	56	77	150	71	92	166	89	72
ENSG00000149527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881	19	49	36	54	27	30	31	16	43	17	44	35	27	66
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000238164	5	24	24	19	7	7	19	8	6	10	14	10	13	10
ENSG00000157873	63	185	181	194	96	68	183	35	81	46	75	109	91	130
ENSG00000225931	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157870	67	142	170	96	97	53	91	26	95	17	32	102	48	53
ENSG00000142606	17	27	20	25	24	13	17	5	24	4	6	23	6	11
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	1	0	0	1	0	0	1	0	0	0	8	0	0	1
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	0	0	0	1	0	0	0	0	0	0	1	0	0	4
ENSG00000283572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	0	0	1	0	1	1	0	0	0	0	0	0	0	0
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591	0	1	2	2	1	1	0	0	0	1	1	0	2	0
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158109	421	725	506	537	539	285	452	113	581	150	369	748	240	451
ENSG00000116213	31	41	12	28	24	13	39	8	19	14	20	29	21	24
ENSG00000078900	2	3	0	1	2	0	0	0	5	1	0	4	1	0
ENSG00000227589	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	43	44	49	57	26	16	22	16	40	13	63	28	16	49
ENSG00000276189	0	0	1	3	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	4	5	2	2	0	1	3	2	3	0	7	2	2	5
ENSG00000235169	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130764	194	232	101	146	226	71	158	60	281	52	154	251	85	192
ENSG00000266075	0	0	0	1	0	0	0	0	0	2	0	0	0	0
ENSG00000272153	2	0	0	2	1	0	0	0	1	0	0	0	0	0
ENSG00000116198	136	175	123	120	79	73	90	107	166	87	248	165	135	217
ENSG00000169598	47	36	23	31	32	16	18	11	48	3	20	33	9	32
ENSG00000198912	140	194	147	81	236	138	116	16	179	43	81	147	33	95
ENSG00000236423	1	1	0	1	4	0	0	2	0	3	2	2	1	0
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	16	18	35	19	6	5	4	13	20	10	24	18	9	17
ENSG00000069424	855	2378	2321	1119	726	524	272	659	1849	1120	624	1381	1142	245
ENSG00000116254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116251	3411	3920	4246	697	4977	4497	455	2189	3026	1666	525	2199	1715	428
ENSG00000226944	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000158286	14	3	2	2	6	5	4	3	10	3	3	3	6	1
ENSG00000116237	1823	942	562	485	1122	423	477	676	1575	472	546	1495	544	654
ENSG00000225077	0	6	2	3	2	1	1	0	0	0	0	0	2	2
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	2	12	23	14	4	7	4	3	7	7	72	11	5	51
ENSG00000097021	51	50	62	36	73	82	32	52	66	33	5	63	53	12
ENSG00000271746	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	0	7	1	1	2	0	0	0	0	0	0	0	1	0
ENSG00000171680	0	55	61	2	11	6	0	0	0	0	0	0	0	0
ENSG00000162408	183	100	45	73	97	38	38	76	259	104	176	138	56	101
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204859	34	63	8	62	23	3	21	5	23	4	53	38	7	39
ENSG00000162413	129	128	146	130	63	61	161	91	169	75	167	208	86	291
ENSG00000116273	117	110	251	157	123	116	149	75	140	63	170	146	23	304
ENSG00000041988	32	51	39	31	41	38	24	34	37	36	19	44	34	18
ENSG00000007923	210	222	197	147	184	153	77	124	282	156	115	218	204	95
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	0	5	0	0	0	4	0	0	0	0	0	1	0	0
ENSG00000171735	202	275	347	171	403	350	188	137	173	96	181	179	120	176
ENSG00000227950	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049245	3447	2689	3880	1303	2501	2501	1114	2395	4274	2792	2733	3522	2557	2470
ENSG00000269925	2	2	4	1	1	2	0	11	2	0	8	0	1	2
ENSG00000049246	252	90	48	16	36	11	9	93	268	48	69	184	109	96
ENSG00000236266	7	3	2	2	0	1	1	4	11	2	2	5	3	0
ENSG00000049247	334	24	17	7	5	4	0	163	57	9	16	55	19	22
ENSG00000049249	107	21	2576	414	4	344	269	3785	98	2391	172	108	1804	153
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000116288	2043	2283	2495	1159	2591	2355	692	1212	1750	921	459	1531	1083	399
ENSG00000200344	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000284747	0	0	3	4	1	0	0	0	0	0	0	0	2	0
ENSG00000284716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285	44	66	489	71	159	229	105	997	30	255	8	46	1721	29
ENSG00000238290	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	0	0	0	2	0	0	0	0	0	1	0	0	0	0
ENSG00000252254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599	298	431	226	207	239	84	159	179	553	169	339	394	98	451
ENSG00000232912	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000221083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224315	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	37965	30356	36307	18266	42043	39030	19420	34717	54349	36831	31481	50407	43954	34554
ENSG00000274258	760	1039	77	687	1127	859	584	895	1495	1004	819	1305	1211	857
ENSG00000236269	0	1	4	0	0	0	0	0	0	1	0	2	0	0
ENSG00000230679	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000201725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	212	112	125	8	33	18	14	161	897	492	1413	706	451	926
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	112	20	100	209	10	14	39	76	131	115	119	147	50	214
ENSG00000228526	11	6	5	8	3	0	2	2	11	3	12	5	2	3
ENSG00000284357	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000234546	4	1	2	2	0	0	3	0	0	1	3	7	0	1
ENSG00000281937	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049239	380	343	300	1086	247	132	808	310	750	374	2023	595	394	1674
ENSG00000171621	10	38	410	58	24	90	55	303	22	481	89	9	234	153
ENSG00000284652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284693	7	7	0	3	9	0	3	0	3	0	1	3	0	0
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	49	35	79	41	59	56	41	29	63	27	33	57	52	16
ENSG00000231181	1	0	2	0	0	0	0	0	3	0	1	0	0	0
ENSG00000188807	26	25	5	11	10	5	8	2	45	9	12	22	1	10
ENSG00000171608	215	376	387	910	158	90	384	80	263	145	1314	388	224	989
ENSG00000179840	1	0	6	3	0	0	2	0	1	0	2	1	0	1
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	4	1	0	1	0	1	1	0	0	0	2	1	0	0
ENSG00000171603	655	975	688	997	509	267	627	492	1083	606	1297	1020	719	1049
ENSG00000271264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178585	82	176	170	81	234	148	96	58	131	74	46	132	80	24
ENSG00000223989	21	46	18	16	70	33	29	13	41	21	17	35	17	10
ENSG00000162441	385	263	194	151	296	208	98	159	343	123	204	308	128	150
ENSG00000228150	0	2	2	1	0	0	1	0	0	0	1	1	0	0
ENSG00000173614	185	278	102	132	87	29	62	39	183	38	161	160	38	123
ENSG00000202415	0	1	0	0	1	0	0	0	1	0	2	1	0	1
ENSG00000283611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	25	56	20	28	6	5	5	3	31	8	26	26	4	18
ENSG00000162444	53	114	78	2	49	33	0	31	45	11	2	29	17	0
ENSG00000130939	678	809	501	522	519	325	357	278	867	233	557	723	345	497
ENSG00000224340	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054523	1348	989	8087	2224	977	3700	1123	2587	2285	4972	6825	1407	4108	6063
ENSG00000264881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	0	2	0	0	0	0	1	0	0	0	1	2
ENSG00000264501	15	4	108	35	4	68	10	46	27	118	106	12	98	72
ENSG00000284735	1	0	0	0	0	1	0	2	1	1	3	0	2	1
ENSG00000284642	0	0	2	0	0	0	0	1	3	7	7	0	1	5
ENSG00000142657	4963	11782	9585	19370	6637	5034	15844	3833	8141	4509	18914	7607	5744	16678
ENSG00000271989	0	1	0	1	0	1	0	0	0	0	0	1	0	1
ENSG00000251503	84	16	23	13	53	40	18	31	46	15	21	41	17	14
ENSG00000175279	87	18	27	16	62	49	22	34	51	17	21	43	20	14
ENSG00000241563	2	2	0	0	1	0	0	0	1	0	1	1	0	0
ENSG00000160049	272	253	176	202	111	75	118	120	354	143	167	214	97	146
ENSG00000203469	21	16	9	12	5	1	5	13	33	11	12	11	7	4
ENSG00000142655	15	39	22	51	20	7	41	5	20	5	22	26	12	58
ENSG00000243267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130940	1	6	23	15	0	1	4	12	7	18	11	8	7	24
ENSG00000272078	1	0	4	4	2	1	4	4	2	3	4	1	1	7
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	4	28	10	4	13	2	2	1	7	2	0	13	7	2
ENSG00000215785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120948	1947	1932	1856	1140	2359	1375	980	786	2170	780	1852	1587	888	1362
ENSG00000277726	940	954	818	526	1173	701	482	392	1117	388	1004	781	447	660
ENSG00000009724	1	5	1	4	2	4	1	3	2	0	6	0	1	3
ENSG00000271895	0	5	1	1	0	2	1	1	1	1	1	0	0	0
